APPL_REALM_NM,APPL_YEAR,BSNS_TASK_NM,DETAIL_BSNS_NM,DETAIL_PROGRM_NM,BSNS_PURPS_CN,APPL_TRGET_SPORTS_INDUST_AT,APPL_TRGET_BSNS_SCALE_VALUE,APPL_TRGET_PREPFNTN_AT,APPL_TRGET_FNTN_DE,APPL_TRGET_APPL_HIST_NEED_AT,APPL_TRGET_GRP_POSBL_AT,APPL_TRGET_LOCGOV_POSBL_AT,APPL_TRGET_INDVDL_POSBL_AT,APPL_TRGET_RM_CN,APPL_TRGET_RELATE_LAW_NM,PARTCND_AT,PARTCND_CN,PARTCND_MUMM_PDSMLPZ_CO,PARTCND_MXMM_PDSMLPZ_CO,APPLPRC_CN,RCRIT_PD_BEGIN_DE,RCRIT_PD_END_DE,RCRIT_PD_RM_CN,APPL_PD_BEGIN_DE,APPL_PD_END_DE,APPL_PD_MUMM_YEAR_CO,APPL_PD_MXMM_YEAR_CO,YEAR_EVL_AT,APPL_PD_RM_CN,FNC_REPAYATMAT_AT,FNC_DFT_AT,FNC_DFT_PD_YEAR_CO,FNC_APPLC_INTRT,FNC_RM_CN,APPL_DETAIL_CN,STARTUP_PRIOR_AT,APPL_SCALE_TOT_BUDGET_PRICE,APPL_SCALE_UNIT_NM,APPL_SCALE_CO,APPL_SCALE_UNIT_PER_MXMM_APPL_PRICE,APPL_SCALE_RM_CN,ENTRPRS_PFIMS_AT,ENTRPRS_PFIMS_STDR_DC,ENTRPRS_PFIMS_RATE,ADPNTCND_AT,ADPNTCND_MXMM_SCORE,ADPNTCND_RM_CN,REQST_EXCL_TRGET_AT,REQST_EXCL_TRGET_CN,EVL_MNS_NON_MSRNG_RATE,EVL_MNS_MSRNG_RATE,EVL_MNS_PAPERS_EVL_AT,EVL_MNS_PRESNATN_EVL_AT,EVL_MNS_RM_CN,HMPG_URL,RSPNSBLTY_DEPT_NM,INQRY_TEL_NO
"스포츠기업 지원","2023","스포츠산업 창업지원 사업","창업지원","창업도약센터","스포츠산업 초기 스타트업 육성과 유망기업 성장촉진 지원, 혁신창업 생태계 기반조성 및 일자리 창출","Y",,"N",,"Y","N","N","N","3년 이상 ∼ 7년 미만 창업기업 또는 창업지원 관련사업(타부처 사업 포함) 수혜 이력*이 있는 기업
* 공단 사업의 경우 예비초기, 재창업, 액셀러레이팅 사업만 인정(창업도약은 재지원 불가)
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램",,"Y","3년 이상 ∼ 7년 미만 창업기업 또는 창업지원 관련사업(타부처 사업 포함) 수혜 이력*이 있는 기업,
기업자부담 10%","3","7","성과평가, 보육팀선발, 창업보육/교육, 결과보고","20230214","20230302",,,"20231231","1.00","1.00","N","지원 시작은 사업승인일","N","N",,,,"창업지원센터 보육기관*을 통한 초기 스타트업 사업화 지원 
(창업도약지원센터 3개소),
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램 
-집합교육, 멘토링, 현장실습, 워크숍, 세미나 등 수준별 맞춤 교육","Y","3078000000.00000","팀","48","50000000.00000","평균50,000,000원","Y",,"10.00000","Y",,"- 직전년도 공단 통합 데모데이 초기부문 결선진출팀 서류평가 면제
 - 직전년도 예비초기·재창업·사회적기업전담센터 수료기업 서류평가 가점 3점
- TIPS 선정 기업 1점
- 코로나19 피해기업 1점","N",,,,"Y","Y","별도 선정 평가계획 수립?시행","https://spobiz.kspo.or.kr/","창업지원팀","024101753"
"스포츠기업 지원","2022","스포츠산업 창업지원 사업","창업지원","예비초기창업지원센터","스포츠산업 초기 스타트업 육성과 유망기업 성장촉진 지원, 혁신창업 생태계 기반조성 및 일자리 창출","Y",,"Y",,"N","N","N","Y","예비창업자 ∼ 3년 미만 창업기업, 
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램",,"Y","예비창업자 ∼ 3년 미만 창업기업, 
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램,
기업자부담 10%",,"3","성과평가, 보육팀선발, 창업보육/교육, 결과보고","20220217","20220304",,,"20221231","1.00","1.00","N","지원 시작은 사업승인일","N","N",,,,"창업지원센터 보육기관을 통한 
초기 스타트업 사업화 지원
(예비초기창업지원센터 5개소), 
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램 
-집합교육, 멘토링, 현장실습, 워크숍, 세미나 등 수준별 맞춤 교육","N","4436000000.00000","팀","91","36000000.00000","평균36,000,000원","Y",,"10.00000","Y",,"- 직전년도 창업 아이디어 공모전 결선진출 장려상 6팀 3점
- 직전년도 국민체육진흥공단 '스포츠실무맞춤 스타트업교육'IR 대회 상위 5팀 3점","N",,,,"Y","Y","별도 선정 평가계획 수립?시행","https://spobiz.kspo.or.kr/","창업지원팀","024101753"
"스포츠기업 지원","2022","스포츠산업 창업지원 사업","창업지원","창업도약센터","스포츠산업 초기 스타트업 육성과 유망기업 성장촉진 지원, 혁신창업 생태계 기반조성 및 일자리 창출","Y",,"N",,"Y","N","N","N","3년 이상 ∼ 7년 미만 창업기업 또는 창업지원 관련사업(타부처 사업 포함) 수혜 이력*이 있는 기업
* 공단 사업의 경우 예비초기, 재창업, 액셀러레이팅 사업만 인정(창업도약은 재지원 불가)
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램",,"Y","3년 이상 ∼ 7년 미만 창업기업 또는 창업지원 관련사업(타부처 사업 포함) 수혜 이력*이 있는 기업,
기업자부담 10%","3","7","성과평가, 보육팀선발, 창업보육/교육, 결과보고","20220217","20220304",,,"20221231","1.00","1.00","N","지원 시작은 사업승인일","N","N",,,,"창업지원센터 보육기관*을 통한 초기 스타트업 사업화 지원 
(창업도약지원센터 2개소), 
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램 
-집합교육, 멘토링, 현장실습, 워크숍, 세미나 등 수준별 맞춤 교육","N","2216000000.00000","팀","46","36000000.00000","평균36,000,000원","Y",,"10.00000","Y",,"- 직전년도 예비초기·재창업 전담센터 수료기업 서류평가 가점 3점
- 코로나19 피해기업 1점","N",,,,"Y","Y","별도 선정 평가계획 수립?시행","https://spobiz.kspo.or.kr/","창업지원팀","024101753"
"스포츠기업 지원","2021","스포츠산업 창업지원 사업","창업지원","예비초기창업지원센터","스포츠산업 초기 스타트업 육성과 유망기업 성장촉진 지원, 혁신창업 생태계 기반조성 및 일자리 창출","Y",,"Y",,"N","N","N","Y","예비창업자 ∼ 3년 미만 창업기업, 
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램",,"Y","예비창업자 ∼ 3년 미만 창업기업, 
예비초기, 창업도약, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램,
기업자부담 10%",,"3","성과평가, 보육팀선발, 창업보육/교육, 결과보고","20220216","20220302",,,"20221231","1.00","1.00","N","지원 시작은 사업승인일","N","N",,,,"창업지원센터 보육기관을 통한 
초기 스타트업 사업화 지원
(예비초기창업지원센터 5개소), 
예비초기, 사회적기업 특성에 맞는 보육기관별 역량강화 보육 프로그램 
-집합교육, 멘토링, 현장실습, 워크숍, 세미나 등 수준별 맞춤 교육","N","2996000000.00000","팀","70","36000000.00000","평균36,000,000원","Y",,"10.00000","Y",,"- 코로나19 피해기업 1점","N",,,,"Y","Y","별도 선정 평가계획 수립?시행","https://spobiz.kspo.or.kr/","창업지원팀","024101753"
"스포츠기업 지원","2021","스포츠산업 창업지원 사업","창업지원","창업도약센터","스포츠산업 초기 스타트업 육성과 유망기업 성장촉진 지원, 혁신창업 생태계 기반조성 및 일자리 창출","Y",,"N",,"Y","N","N","N","스포츠산업분야 7년미만 창업 기업 중 정부 창업지원사업 1회 이상 참여이력 있는 기업",,"Y","스포츠산업분야 7년 미만 창업기업 중 정부 창업지원사업 1회이상 참여이력 있는 기업,
기업자부담 10%",,"7","성과평가, 보육팀선발, 창업보육/교육, 결과보고","20220216","20220412",,,"20221231","1.00","1.00","N","지원 시작은 사업승인일","N","N",,,,"창업지원센터 보육기관*을 통한 초기 스타트업 사업화 지원 
(창업도약지원센터 2개소), 
창업도약 특성에 맞는 보육기관별 역량강화 보육 프로그램 
-집합교육, 멘토링, 현장실습, 워크숍, 세미나 등 수준별 맞춤 교육","N","1280000000.00000","팀","30","36000000.00000","평균36,000,000원","Y",,"10.00000","Y",,"- 코로나19 피해기업 1점","N",,,,"Y","Y","별도 선정 평가계획 수립?시행","https://spobiz.kspo.or.kr/","창업지원팀","024101753"
"스포츠기업 지원","2024","스포츠기업 혁신기술 사업화 지원","스포츠테크 프로젝트",,"혁신제품 사업화 비용 지원","Y",,"N",,"Y","Y","N","N","23년 선정과제 계속 지원(2개년)",,"N",,,,"용역사공모/선정, 용역수행관리, 사업비교부,
사업비정산, 집행점검, 최종평가, 성과추적조사",,,,"20240401","20241130","1.00","2.00","N","1차년도 23-06-01 ~ 24-03-31
2차년도 24-04-01 ~ 24-11-30","N","N",,,,"혁신제품 개발 및 기술사업화 비용 지원
(선도형) 연간 10억원
(추격형) 연간 7억원
- 기술성숙도(TRL) 기준 5 이상에 상응하는 원천기술을 활용한 신제품의 출시 지원
- 제품설계, 디자인 개발, 성능개선, 시제품 제작, 시험분석 등","N","6700000000.00000","프로젝트","8",,,"N",,,"N",,,"N",,,,"N","N",,"https://spobiz.kspo.or.kr/","기술혁신팀","024101551"
"스포츠기업 지원","2024","스포츠용품 시험 및 인증 사업","스포츠용품 시험, 인증 사업",,"스포츠용품에 특화된 품질성능 시험, 국내인증 인프라 구축, 영세한 국내 스포츠기업 지원","Y","중소기업","Y",,"N","Y","N","N","국내 스포츠기업","우수체육용구생산업체지정 및 관리요령 제9조","N",,,,"스포츠용품시험, 신규시험장비구입, 스포츠용품 전산해석업체지원,
스포츠용품 시험규격제정, 품질인증 접수 및 현장실사, 풀진인증 위원회 개최",,,"상시 모집",,,,,"N","상시모집","N","N",,,,"전기전자 융복합 스포츠용품 전산해석 기반 구축
스포츠용품시험소 운영
우수체육용구 생산업체 지정
스포츠용품 국내 품질인증제(KISS) 운영","N",,"기업",,,,"N",,,"N",,,"N",,,,"N","N",,"https://spobiz.kspo.or.kr/","기술혁신팀","024101551"
"스포츠기업 지원","2024","스포츠용품 시험 및 인증 사업","스포츠용품 해외인증 획득 지원사업",,"국내 스포츠용품업체의 해외시장 진출기반 제공, 해외인증 획득지원","Y","중소기업","N",,"N","N","N","N","국내 스포츠용품 제조, 생산업체",,"N",,,,"[패스트트랙]
인증획득 추진 및 완료(기업)→신청?접수(기업)→심사 및 보조금 지급(공단)
[일반트랙]
신청?접수(기업)→선정평가 및 협약체결(시행기관↔기업)→인증획득 추진 및 완료(기업)→보조금 지급(공단)","20240603",,"[패스트트랙] 예산소진 시까지 상시모집
[일반트랙] ~2024. 6. 28.","20240603","20241231",,,"N",,"N","N",,,,"업체당 인증 개수 제한 없이 인증획득비용 최대 6천만원 지원, 
해외 29개국 및 국제인증 등 105종의 해외인증 취득 지원
국제경기연맹 공인 지원, 
내수시장 개척을 위한 국내인증 지원 가능(K인증, KC인증 등),
품질시스템인증 지원 불가(ISO 9001, ISO 14001 등)","N","890000000.00000","기업",,"60000000.00000","인증획득비용의 60% ~ 80%","Y","지원기업의 매출규모, 20~40% 자부담","20.00000","N",,,"N",,,,"N","N",,"https://spobiz.kspo.or.kr/","기술혁신팀","024101551"
"스포츠기업 지원","2023","스포츠기업 혁신기술 사업화 지원","스포츠테크 프로젝트",,"혁신제품 사업화 비용 지원","Y",,"N",,"Y","Y","N","N","혁신기술을 보유하고 있는 
국내 스포츠용품 제조, 생산업체 및 
스포츠서비스 기업",,"Y","(주관기관) 아래 1~ 4 자격을 모두 만족하는 자
1.「중소기업기본법」제2조 규정에 의한 중소기업 또는 「중견기업 성장 촉진 및 경쟁력 강화에 관한 특별법」제2조1호에 따른 중견기업
2. 공고마감일 기준, 업력이 3년 이상인 기업
 - 개인사업자 : 사업자등록증 상 개업연월일 기준
  법인사업자 : 법인등기부등본 상 회사성립연월일 기준   * 개인사업자에서 포괄양도양수전환을 통한 법인전환 시, 개인사업자의 개업연월일로부터 업력 판단(단, 포괄승계계약서 사본 제출 시 인정)
3. 표준재무제표 기준 총 매출액 중 스포츠용품업 또는 스포츠서비스업 관련 매출액 비중이 10% 이상인 기업
4. 아래 ①~⑤ 요건 중 최소 1개를 충족하는 기업
  ① 공공 또는 민간투자기관으로부터 최근 3년간 누적 10억원 이상 투자 유치
  ② 표준재무제표(2021년) 기준 총 매출액 중 R&D(연구개발비)지출 비중이 1% 이상
  ③ 표준재무제표 기준 최근 3년 평균 매출액이 10억원 이상이며, 최근 3년 매출액의 연평균 증가율(CAGR)이 30% 이상
  ④ 표준재무제표 기준 최근 3년 평균 매출액이 50억원 이상
  ⑤ 아래의 인증서 보유
   - 문화체육관광부「대한민국 스포츠산업대상」, 국민체육진흥공단「올해의 우수스포츠기업」, 산업통상자원부「강소벤처형 중견기업」,「품질경쟁력우수기업」, 「우수기술연구센터(ATC, ATC+) 기업」,「세계일류상품(현재, 차세대 포함) 생산기업」,
 환경부「환경표지」인증제품, 친환경「ISO-14001」, (사)월드클래스기업협회, 「월드클래스(WC300, WC+)기업」    ※ 유효기간이 있는 인증의 경우 유효기간 내 인증서만 인정, 유효기간이 없는 인증의 경우 공고마감일 기준 3년 이내 인증서만 인정

(참여기관) 회사(대기업 포함), 비영리법인 등 아래 각 호 중 어느 하나에 해당하는 자
·「상법」제169조에 따른 회사
·「중소기업기본법」제2조에 따른 중소기업 
·「민법」또는 다른 법률에 따라 설립된 비영리법인
·「고등교육법」제2조에 따른 학교
·「정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률」제2조 및「과학기술분야 정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률」에 따른 정부출연연구기관
·「지방자치단체출연 연구원의 설립 및 운영에 관한 법률」제2조에 따른 지방자치단체출연연구원
·「특정연구기관 육성법」제2조에 따른 특정연구기관
· 국가 또는 지방자치단체가 직접 설치하여 운영하는 연구기관
·「산업기술혁신촉진법」 제42조에 의한 전문생산기술연구소 등의 연구기관","3",,"용역사공모/선정, 용역수행관리, 사업비교부,
사업비정산, 집행점검, 최종평가, 성과추적조사",,,,"20230601","20241130","1.00","2.00","Y","1차년도 23-06-01 ~ 24-03-31
2차년도 24-04-01 ~ 24-11-30","N","N",,,,"혁신제품 개발 및 기술사업화 비용 지원
(선도형) 연간 10억원
(추격형) 연간 7억원
- 기술성숙도(TRL) 기준 5 이상에 상응하는 원천기술을 활용한 신제품의 출시 지원
- 제품설계, 디자인 개발, 성능개선, 시제품 제작, 시험분석 등","N","7500000000.00000","프로젝트","9",,,"Y","지원 보조금의 10% 이상","10.00000","Y",,"- 공고마감일 기준 최근 3년 이내 해외수출(직접·간접수출) 실적보유 기업 1점
- 공고마감일 기준 최근 3년 이내 중소벤처기업부「TIPS」선정·수료기업 1점","Y","2022년도 본 사업 선정공모에 수행사로 선정되어 이미 보조금을 지원받고 있는 경우
·2개 지원유형(선도형, 추격형)에 복수신청하거나 2개 참여유형(주관기관, 참여기관)에 복수신청한 경우
·프로젝트 수행계획서의 내용(개발 및 사업화내용, 목표 등)이 타 사업을 통해
  수행되었거나 수행 중에 있는 경우
·프로젝트의 산출물이 기 지원·제작·생산·판매 중인 제품인 경우
·부도(회생인가를 받은 경우는 예외) 또는 휴·폐업 중인 경우
·국세 또는 지방세 체납처분을 받은 경우
 - 단, ① 공고마감일까지 해소하거나 체납처분 유예를 받은 경우, ② 회생인가를 받은 경우,
    ③ 중소벤처기업진흥공단 및 신용회복위원회(재창업지원위원회)를 통해 재창업자금을 지원받은 경우,
    ④ 신용보증기금 및 기술신용보증기금으로부터 재도전기업주 재기지원보증을 받은 경우는 예외
·민사집행법에 따라 채무불이행자명부에 등재되거나 전국은행연합회 등 신용정보집중기관에 채무불이행자로 등록된 경우
 - 단, ① 공고마감일까지 해소하거나 체납처분 유예를 받은 경우, ② 회생인가를 받은 경우,
    ③ 중소벤처기업진흥공단 및 신용회복위원회(재창업지원위원회)를 통해 재창업자금을 지원받은 경우,
    ④ 신용보증기금 및 기술신용보증기금으로부터 재도전기업주 재기지원보증을 받은 경우는 예외
·파산·회생절차·개인회생절차의 개시 신청이 이루어진 경우
 - 단, 법원의 인가를 받은 회생 또는 변제계획에 따른 채무변제를 정상적으로 이행하고 있는 경우는 예외
·국세청 발급 표준재무제표증명의 최근 결산년도(2021년) 기준 부채비율이 1,000% 이상이거나,
  전액자본잠식 상태인 기업(단, 비영리기관은 제외)
 - 상기 부채비율 계산 시 한국벤처캐피탈협회 회원사 및 「공공기관의 운영에 관한 법률」에
   따른 공공기관으로부터 최근 3년(2019~2021년) 간 대출형 투자유치(CB, BW,
   상환전환우선주(RCPS))를 통한 신규차입금은 부채총액에서 제외 가능
·이행보증보험증권의 발급이 불가한 경우
·근로기준법에 따라 2020~2022년간 고용노동부를 통해 체불사업주 명단에 등재된 경우
·접수기간 내 신청자격을 증명할 수 있는 서류 또는 프로젝트 수행계획서를 제출하지 않은 경우
·제출서류가 허위로 작성된 것으로 판명된 경우",,,"Y","Y",,"https://spobiz.kspo.or.kr/","기술혁신팀","024101551"
"스포츠기업 지원","2023","스포츠용품 시험 및 인증 사업","스포츠용품 시험, 인증 사업",,"스포츠용품에 특화된 품질성능 시험, 국내인증 인프라 구축, 영세한 국내 스포츠기업 지원","Y","중소기업","Y",,"N","Y","N","N","국내 스포츠기업","우수체육용구생산업체지정 및 관리요령 제9조","N",,,,"스포츠용품시험, 신규시험장비구입, 스포츠용품 전산해석업체지원,
스포츠용품 시험규격제정, 품질인증 접수 및 현장실사, 풀진인증 위원회 개최",,,"상시 모집",,,,,"N","상시모집","N","N",,,,"스포츠용품 시험 인증 지원, 
전기전자 융복합 스포츠용품 전산해석 기반 구축
스포츠용품시험소 운영
우수체육용구 생산업체 지정
스포츠용품 국내 품질인증제(KISS) 운영","N",,"기업",,,,"N",,,"N",,,"N","-",,,"N","N",,"https://spobiz.kspo.or.kr/","기술혁신팀","024101551"
