APPL_REALM_NM,DETAIL_APPL_REALM_NM,BSNS_NM,AGENCY_NM,CMPNY_NM,RPRSNTV_NM,BSNS_NO,BZCND_NM,INDUTY_NM,REPRSNT_PRDLST_NM,CMPNY_ADDR,CMPNY_HMPG_URL,APPL_YEAR
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 4차 접수(5월 6일 18:00 접수마감)",,"주식회사 프렌즈스크린남동중앙점","배*분 외 1인","2848502113","체육시설업","가상체험체육시설",,"인천광역시 남동구 논현고잔로109번길 84310호~315호(고잔동) (고잔동)",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 2차 접수(2월 14일 18:00 접수마감)",,"백호체육관 태권도","조*준","3229701156","체육시설업","체육도장",,"서울특별시 성북구 숭인로2길 612층 백호태권도 (길음동)",,"2024"
"스포츠산업융자","기업금융융자","2024년 스포츠산업 융자 4차 접수(7월 3일 18:00 접수마감)",,"주식회사 굿모닝골프","노*섭","3148628838","체육시설업","골프연습장",,"대전광역시 유성구 노은로367번길 108굿모닝골프 (하기동)",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 3차 접수(3월 11일 18:00 접수마감)",,"주식회사 굿모닝골프","노*섭","3148628838","체육시설업","골프연습장",,"대전광역시 유성구 노은로367번길 108굿모닝골프연습장 (하기동)",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 1차 접수(1월 24일 18:00 접수마감)",,"라이언스위밍센터","박*수","5029449721","체육시설업","체육교습업",,"경상남도 김해시 관동로27번길 21-21라이언스위밍센터 (관동동)",,"2024"
"스포츠산업융자","이차보전","2023년 스포츠산업 이차보전 2차 접수(6월 30일 18:00까지)",,"베가스","허*보","5313401357","체육시설업","체력단련장",,"부산광역시 북구 화명신도시로 1334층 401호 (화명동)",,"2023"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 6차(추가) 접수/ (9월 6일 18:00 접수마감)",,"더스윙블랙경기광주태전점","김*천","7961401878","체육시설업","가상체험체육시설",,"경기도 광주시 태전중앙로 16비01호,비02호(태전동 서원프라자2) (태전동)",,"2024"
"스포츠산업융자","기업금융융자","2024년 스포츠산업 융자 2차 접수(2월 14일 18:00 접수마감)",,"서브마린","노*석","1900100969","체육시설업","수영장",,"경기도 용인시 기흥구 구성로 357지하2층 서브마린",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 1차 접수(1월 24일 18:00 접수마감)",,"(주)엠712빌딩","이*진","4088189585","체육시설업","가상체험체육시설",,"광주광역시 남구 효우로 200702호 (행암동)",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 3차 접수(3월 11일 18:00 접수마감)",,"현대웰빙 휘트니스","정*","4091984965","체육시설업","체력단련장",,"광주광역시 북구 비엔날레로 40현대웰빙랜드3,4층 (운암동)",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 1차 접수(1월 24일 18:00 접수마감)",,"대호관광개발(주)","이*경","4098163690","체육시설업","대중형골프장",,"전라남도 영광군 백수읍 해안로 1362-70영광컨트리클럽","www.ygcc.co.kr","2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 1차 접수(1월 24일 18:00 접수마감)",,"죽산기업(주)","임*욱","4108111611","체육시설업","대중형골프장",,"전라남도 순천시 별량면 동화사길 851층 사무실",,"2024"
"스포츠산업융자","이차보전","2024년 스포츠산업 이차보전 1차 접수(1월 24일 18:00 접수마감)",,"(주)소촌그린힐스골프클럽","유*표","4108194820","체육시설업","골프연습장",,"광주광역시 광산구 소촌로149번길 20-26소촌그린힐스골프클럽 (소촌동)",,"2024"
